dbn,school_name,boro,location,phone_number,fax_number,school_email,website,subway,bus,total_students,start_time,end_time,primary_address_line_1,city,Postcode,state_code,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
09X263,Validus Preparatory Academy,X,"1595 Bathgate Avenue, Bronx NY 10457(40.839508, -73.901774)",718-466-4000,718-466-4001,CHibber@schools.nyc.gov,validusprep.org,N/A,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41, Bx41-SBS",397,8:20am,2:40pm,1595 Bathgate Avenue,Bronx,10457,NY,BRONX    ,40.839508,-73.901774,3,16,167,2009555,2029130001,Claremont-Bathgate                                                         
27Q324,Rockaway Park High School for Environmental Sustainability,Q,"100-00 Beach Channel Drive, Rockaway Park NY 11694(40.586012, -73.825317)",718-734-3280,718-734-3286,dgieske@schools.nyc.gov,RockawayParkHS.com,"A, S to Beach 98th St-Playland","Q22, Q52, Q53, QM16, QM17",328,8:00am,2:20pm,100-00 Beach Channel Drive,Rockaway Park,11694,NY,QUEENS   ,40.586012,-73.825317,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
02M300,"Urban Assembly School of Design and Construction, The",M,"525 West 50th Street, Manhattan NY 10019(40.765474, -73.9927)",212-586-0981,212-586-1731,Matt.Willoughby@uasdc.org,uasdc.org,"C, E to 50th St","M104, M11, M12, M20, M31, M34A-SBS, M42, M50, M57, X12, X14, X30, X42",391,8am,3:15pm,525 West 50th Street,Manhattan,10019,NY,MANHATTAN,9 40.7654,", -73.9927 ",4,3,135,1083802,1010790029,Clinton                                                                    
09X327,Comprehensive Model School Project M.S. 327,X,"1501 Jerome Avenue, Bronx NY 10452(40.842503, -73.916084)",718-294-8111,718-294-8109,aricci2@schools.nyc.gov,schools.nyc.gov/SchoolPortals/09/X327,"4 to Mt Eden Ave; B, D to 170th St","Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx32, Bx35, Bx36, BxM4",719,8am,4pm,1501 Jerome Avenue,Bronx,10452,NY,BRONX    ,40.842503,-73.916084,4,14,209,2008336,2028590077,West Concourse                                                             
02M047, The American Sign Language and English Secondary School,M,"223 East 23rd Street, Manhattan NY 10010(40.738374, -73.981329)",917-326-6668,917-326-6688,wshama@schools.nyc.gov,47aslhs.net,"4, 5, Q to 14th St-Union Square; 6, N, R to 23rd St; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM1, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",179,8:15am,2:30pm,223 East 23rd Street,Manhattan,10010,NY,MANHATTAN,40.738374,-73.981329,6,2,64,,,Gramercy                                                                   
24Q293,Civic Leadership Academy,Q,"45-10 94th Street, Elmhurst NY 11373(40.743228, -73.871505)",718-271-1487,718-271-3408,info@CLAnyc.org,CLANYC.org,7 to Junction Blvd,"Q29, Q38, Q53, Q58, Q72",506,8:30am,2:50pm,45-10 94th Street,Elmhurst,11373,NY,QUEENS   ,40.743228,-73.871505,4,25,463,4437166,4016000061,Elmhurst                                                                   
01M448,University Neighborhood High School,M,"200 Monroe Street, Manhattan NY 10002(40.712269, -73.984128)",212-962-4341,212-267-5611,dtsao@schools.nyc.gov,universityneighborhoodhs.org,"F to East Broadway; J, M, Z to Delancey St-Essex St","M14A, M14D, M15, M21, M22, M9, X14, X37, X38",392,8:15am,2:40pm,200 Monroe Street,Manhattan,10002,NY,MANHATTAN,40.712269,-73.984128,3,1,202,1003214,1002590044,Lower East Side                                                            
29Q259,Pathways College Preparatory School: A College Board School,Q,"109-89 204th Street, Saint Albans NY 11412(40.705989, -73.752885)",718-454-4957,718-454-4892,info@pathwaysprep.org,pathwaysprep.org,N/A,"Q2, Q4, Q77, Q83",618,8:10am,2:30pm,109-89 204th Street,Saint Albans,11412,NY,QUEENS   ,40.705989,-73.752885,12,27,508,4234318,4109440301,Hollis                                                                     
25Q252,"Queens School of Inquiry, The",Q,"158-40 76th Road, Fresh Meadows NY 11366(40.724195, -73.80938)",718-380-6929,718-380-6809,Minbal@schools.nyc.gov,queensinquiry.com,N/A,"Q25, Q34, Q46, Q64, Q65, QM1, QM31, QM35, QM36, QM5, QM6, QM7, QM8",575,8am,3:05pm College classes can extend to 5pm,158-40 76th Road,Fresh Meadows,11366,NY,QUEENS   ,40.72419,-73.80938,8,24,1257,4147847,4068260001,Kew Gardens Hills                                                          
30Q580,Baccalaureate School for Global Education,Q,"34-12 36th Avenue, Astoria NY 11106(40.754975, -73.926977)",718-361-5275,718-361-5395,bsgeadmissions@gmail.com,bsge.org,"M, R to 36th St; N, Q to 36 Ave-Washington Ave","Q101, Q102, Q104, Q66",518,8am,3pm,34-12 36th Avenue,Astoria,11106,NY,QUEENS   ,40.754975,-73.926977,1,26,55,4009499,4006340036,Queensbridge-Ravenswood-Long Island City                                   
02M655,Life Sciences Secondary School,M,"320 East 96th Street, Manhattan NY 10128(40.783286, -73.945933)",212-348-1694,212-348-4293,cmarshal@schools.nyc.gov,schools.nyc.gov/SchoolPortals/02/M655,6 to 96th St,"BxM1, BxM10, BxM6, BxM7, BxM8, BxM9, M101, M102, M103, M106, M15, M15-SBS, M31, M86-SBS, M96, M98",632,8:20am,2:40pm,320 East 96th Street,Manhattan,10128,NY,MANHATTAN,40.783286,-73.945933,8,5,15601,1050338,1015580034,Yorkville                                                                  
03M299,The Maxine Greene High School for Imaginative Inquiry,M,"122 Amsterdam Avenue, Manhattan NY 10023(40.774891, -73.985608)",212-799-4064,212-799-4171,pmartinez@schools.nyc.gov,schools.nyc.gov/SchoolPortals/03/M299,"1 to 66th St-Lincoln Center; 2, 3 to 72nd St; A, B, C, D to 59th St-Columbus Circle","BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",442,8:01am,2:17pm,122 Amsterdam Avenue,Manhattan,10023,NY,MANHATTAN,40.774891,-73.985608,7,6,151,1030343,1011570025,Lincoln Square                                                             
10X433,High School for Teaching and the Professions,X,"2780 Reservoir Avenue, Bronx NY 10468(40.869061, -73.897066)",718-329-7380,718-329-7381,nrodriguez@hsforteaching.org,hsforteaching.org,"4, B, D to Kingsbridge Rd","Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, Bx38, Bx9, BxM3, BxM4",462,8:24am,2:38pm,2780 Reservoir Avenue,Bronx,10468,NY,BRONX    ,40.869061,-73.897066,7,11,409,2015241,2032470070,Van Cortlandt Village                                                      
18K642,Urban Action Academy,K,"1600 Rockaway Parkway, Brooklyn NY 11236(40.640543, -73.898601)",718-290-8720,718-290-8721,NChinebuah@schools.nyc.gov,schools.nyc.gov/SchoolPortals/18/K642,L to Canarsie-Rockaway Parkway,"B103, B17, B42, B6, B60, B82, BM2",310,8:10am,2:30pm,1600 Rockaway Parkway,Brooklyn,11236,NY,BROOKLYN ,40.640543,-73.898601,18,46,990,3230949,3082220001,Canarsie                                                                   
16K455,Boys and Girls High School,K,"1700 Fulton Street, Brooklyn NY 11213(40.678478, -73.931604)",718-467-1700,718-221-0645,info@boysandgirlshs.org,boysandgirlshs.org,"A, C to Utica Ave","B15, B25, B26, B43, B45, B46, B46-SBS, B47, B65",396,8:05am,3:41pm,1700 Fulton Street,Brooklyn,11213,NY,BROOKLYN ,40.678478,-73.931604,3,36,271,3047996,3017010001,Crown Heights North                                                        
03M403,The Global Learning Collaborative,M,"145 West 84th Street, Manhattan NY 10024(40.786134, -73.974483)",212-877-1103,212-877-1138,casillas@theglcnyc.org,theglcnyc.org,"1, B, C to 86th St; 2, 3 to 96th St","BxM2, M10, M104, M11, M5, M7, M79, M86-SBS",428,8:30am,3:30pm,145 West 84th Street,Manhattan,10024,NY,MANHATTAN,40.786134,-73.974483,7,6,169,1032128,1012150001,Upper West Side                                                            
08X320,Pelham Lab High School,X,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-5090,718-904-5099,pelhamlabschool@gmail.com,schools.nyc.gov/SchoolPortals/08/X320,6 to Westchester Sq-East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",459,8am,3pm,3000 East Tremont Avenue,Bronx,10461,NY,BRONX    ,40.839775,-73.839583,10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park                                   
08X348,Schuylerville Preparatory High School,X,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-5080,718-935-5089,mramos@schuylervilleprephs.org,schools.nyc.gov/SchoolPortals/08/X348,6 to Westchester Sq-East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",359,8:15am,2:36pm,3000 East Tremont Avenue,Bronx,10461,NY,BRONX    ,40.839775,-73.839583,10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park                                   
28Q310,Queens Collegiate: A College Board School,Q,"167-01 Gothic Drive, Jamaica NY 11432(40.714551, -73.798658)",718-658-4016,718-658-5149,MrErskine@queenscollegiate.org,schools.nyc.gov/SchoolPortals/28/Q310,F to 169th St,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68",668,8:20am,2:40pm,167-01 Gothic Drive,Jamaica,11432,NY,QUEENS   ,40.714551,-73.798658,8,24,452,4448806,4098580100,Briarwood-Jamaica Hills                                                    
05M369,Urban Assembly School for the Performing Arts,M,"509 West 129th Street, Manhattan NY 10027(40.815747, -73.95552)",212-543-4460,212-234-4975,mmcmahon3@schools.nyc.gov,uaperformingarts.org,"1, A, B, C, D to 125th St","Bx15, Bx33, M10, M100, M101, M104, M11, M3, M4, M5, M60-SBS",340,8:15am,3:35pm,509 West 129th Street,Manhattan,10027,NY,MANHATTAN,40.81574,-73.95552,9,7,219,1059723,1019840033,Manhattanville                                                             
17K408,Academy of Hospitality and Tourism,K,"911 Flatbush Avenue, Brooklyn NY 11226(40.649602, -73.957173)",718-564-2580,718-564-2581,smiller18@schools.nyc.gov,aohterasmus.org,"2, 5, B, Q to Church Ave","B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",191,8am,2:20pm,911 Flatbush Avenue,Brooklyn,11226,NY,BROOKLYN ,40.649602,-73.957173,14,40,794,3336215,3051030010,Erasmus                                                                    
12X511,Bronx Envision Academy,X,"1619 Boston Road, Bronx NY 10460(40.836245, -73.890591)",718-589-1590,718-589-1595,info@bronxenvision.org,BronxEnvision.org,"2, 5 to 174th St","Bx11, Bx17, Bx19, Bx21, Bx36",401,8:20am,2:39pm,1619 Boston Road,Bronx,10460,NY,BRONX    ,40.836245,-73.890591,3,17,155,2009867,2029390093,Crotona Park East                                                          
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",X,"455 Southern Boulevard, Bronx NY 10455(40.810671, -73.907528)",718-585-8013,718-585-8019,nbacci@herohigh.net,herohigh.net,"2, 5 to Jackson Ave; 6 to East 143rd St-St Mary's St","Bx17, Bx19, Bx33, Bx4, Bx4A",455,8:30am,3:03pm,455 Southern Boulevard,Bronx,10455,NY,BRONX    ,40.810671,-73.907528,1,8,35,2003883,2025760026,Mott Haven-Port Morris                                                     
13K527,Urban Assembly Institute of Math and Science for Young Women,K,"283 Adams Street, Brooklyn NY 11201(40.694629, -73.988323)",718-260-2300,718-260-2301,valb@uainstitute.org,uainstitute.org,"2, 3, 4, 5 to Court St-Borough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn","B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",487,8:30am,2:50pm,283 Adams Street,Brooklyn,11201,NY,BROOKLYN ,40.694629,-73.988323,2,33,11,3331741,3001400010,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
02M427,Manhattan Academy for Arts & Language,M,"111 East 33rd Street, Manhattan NY 10016(40.74651, -73.98107)",212-576-0502,212-576-0518,sbolets@schools.nyc.gov,www.maalnyc.org,"4, 5, 7, S to Grand Central-42nd St; 6 to 33rd St; B, D, F, M, N, Q, R to 34th St-Herald Square","BM1, BM2, BM3, BM4, BM5, BxM1, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M15, M15-SBS, M2, M3, M34A-SBS, M34-SBS, M4, M42, M5, M7, M9, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM31, QM32, QM34, QM35, QM36, QM4, QM40, QM42, QM44, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",288,8:49am,3:23pm,111 East 33rd Street,Manhattan,10016,NY,MANHATTAN,6 40.7465,-73.98107,5,2,72,1087537,1008897501,Murray Hill-Kips Bay                                                       
21K690,Brooklyn Studio Secondary School,K,"8310 21st Avenue, Brooklyn NY 11214(40.60498, -73.995084)",718-266-5032,718-266-5093,mortiz79@schools.nyc.gov,mybrooklynstudio.com,D to 20th Ave,"B1, B4, B6, B64, B8, B82",926,8am,2:20pm,8310 21st Avenue,Brooklyn,11214,NY,BROOKLYN ,40.60498,-73.995084,11,47,288,3165232,3063290032,Bensonhurst West                                                           
11X542,Pelham Preparatory Academy,X,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3601,718-944-3479,BFerron@schools.nyc.gov,pelhamprepacademy.org,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",493,8:15am,3:45pm,925 Astor Avenue,Bronx,10469,NY,BRONX    ,40.860443,-73.860729,11,13,324,2050179,2043580001,Bronxdale                                                                  
02M408,Professional Performing Arts High School (PPAS),M,"328 West 48th Street, Manhattan NY 10036(40.761327, -73.988665)",212-247-8652,212-247-7514,admissions@ppasshare.org,ppasnyc.org,"1, C, E to 50th St; 2, 3, 7, S to Times Square-42nd St; A to 42nd St-Port Authority Bus Terminal; B, D to 7th Ave; F, M to 47-50th Sts Rockefeller Center; N, Q, R to 49th St","BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",544,8:15am,3:30pm,328 West 48th Street,Manhattan,10036,NY,MANHATTAN,40.761327,-73.988665,4,3,127,1025092,1010380014,Clinton                                                                    
08X530,Longwood Preparatory Academy,X,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",718-860-1242,718-860-1934,08x530@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X530,"2, 5 to Prospect Ave; 6 to Longwood Ave","Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6",172,8:20am,3:55pm,965 Longwood Avenue,Bronx,10459,NY,BRONX    ,40.817741,-73.897876,2,17,87,2005616,2027100001,Longwood                                                                   
01M292,Orchard Collegiate Academy,M,"220 Henry Street, Manhattan NY 10002(40.713362, -73.986051)",212-406-9411,,sbaez@orchardcollegiateacademy.org,schools.nyc.gov/SchoolPortals/01/M292,"B, D to Grand St; F to East Broadway; J, M, Z to Delancey St-Essex St","B39, M14A, M14D, M15, M15-SBS, M21, M22, M9, X14, X37, X38",140,8:20pm,3:55pm,220 Henry Street,Manhattan,10002,NY,MANHATTAN,40.713362,-73.986051,3,1,201,1003223,1002690041,Lower East Side                                                            
18K567,Brooklyn Theatre Arts High School,K,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-1072,718-968-1065,mmcdaniel@bktheatrearts.org,schools.nyc.gov,N/A,"B103, B47, B6, B82, BM1, BM2",372,8:30am,2:50pm,6565 Flatlands Avenue,Brooklyn,11236,NY,BROOKLYN ,40.634451,-73.916927,18,46,950,3224139,3079980005,Canarsie                                                                   
19K502,FDNY - Captain Vernon A. Richards High School for Fire and Life Safety,K,"400 Pennsylvania Avenue, Brooklyn NY 11207(40.666868, -73.895122)",718-922-0389,718-922-0593,JAnders@schools.nyc.gov,schools.nyc.gov/SchoolPortals/19/K502,3 to Pennsylvania Ave; C to Van Siclen Ave; L to Livonia Ave,"B14, B15, B20, B83",340,8am,3pm,400 Pennsylvania Avenue,Brooklyn,11207,NY,BROOKLYN ,40.666868,-73.895122,5,42,1156,3084440,3037880001,East New York (Pennsylvania Ave)                                           
10X438,Fordham Leadership Academy,X,"500 East Fordham Road, Bronx NY 10458(40.859466, -73.888625)",718-733-5024,718-295-3674,aguzman@schools.nyc.gov,schools.nyc.gov/SchoolPortals/10/X438,"B, D to Fordham Rd","Bx1, Bx12, Bx12-SBS, Bx15, Bx17, Bx19, Bx2, Bx22, Bx28, Bx34, Bx38, Bx41, Bx41-SBS, Bx9, BxM4",349,8am,4pm,500 East Fordham Road,Bronx,10458,NY,BRONX    ,40.859466,-73.888625,6,15,387,2011810,2030590001,Belmont                                                                    
05M304,Mott Hall High School,M,"6 Edgecombe Avenue, Manhattan NY 10030(40.817228, -73.947151)",212-694-6020,212-690-5047,GVillal@schools.nyc.gov,motthallhs.org,"1 to 137th St-City College; 2, 3, B, C to 135th St; A, D to 125th St","Bx19, Bx33, M1, M10, M100, M101, M102, M104, M11, M2, M3, M4, M5, M7",364,8am,3:30pm,6 Edgecombe Avenue,Manhattan,10030,NY,MANHATTAN,40.817228,-73.947151,10,9,22102,1059460,1019600001,Central Harlem North-Polo Grounds                                          
02M615,Chelsea Career and Technical Education High School,M,"131 Avenue Of The Americas, Manhattan NY 10013(40.72463, -74.005058)",212-925-1080,212-941-7934,02m615@schools.nyc.gov,chelseahs.org,"1, 6, A, J, N, Q, R, Z to Canal St; 4, B, D, F, M to Broadway-Lafayette St; C, E to Spring St; N, R to Prince St","BxM18, M20, M21, M5, X1, X10, X10B, X12, X17, X27, X28, X7, X9",437,8:15am,4pm,131 Avenue Of The Americas,Manhattan,10013,NY,MANHATTAN,40.72463,-74.005058,2,3,37,1007378,1004910016,SoHo-TriBeCa-Civic Center-Little Italy                                     
02M533,Union Square Academy for Health Sciences,M,"40 Irving Place, Manhattan NY 10003(40.735361, -73.987064)",212-253-3110,212-253-3108,BAscona@unionsquareacademy.org,unionsquareacademy.org,"1, 2, 3, F, M to 14th St-6th Ave; 4, 5, 6, L, N, Q, R to 14th St-Union Square; L to 3rd Ave","BM1, BM2, BM3, BM4, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M8, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",406,8:20am,2:40pm,40 Irving Place,Manhattan,10003,NY,MANHATTAN,40.735361,-73.987064,6,2,50,1017828,1008720057,Gramercy                                                                   
02M489,High School of Economics and Finance,M,"100 Trinity Place, Manhattan NY 10006(40.70927, -74.012328)",212-346-0708,212-346-0712,cbitar@schools.nyc.gov,ecoandfin.org,"1 to Rector St; 2, 3, A, C to Fulton St-Broadway-Nassau; 4, 5 to Wall St; 6 to Brooklyn Bridge - City Hall; E to World Trade Center; J, Z to Broad St; N to South Ferry; R to Cortlandt St","BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",762,8:45am,3:10pm,100 Trinity Place,Manhattan,10006,NY,MANHATTAN,40.70927,-74.012328,1,1,13,1001037,1000520001,Battery Park City-Lower Manhattan                                          
28Q896,"Young Women's Leadership School, Queens (TYWLS)",Q,"150-91 87th Road, Jamaica NY 11432(40.708409, -73.804166)",718-725-0402,718-725-0390,VBurdier@twylsqueens.org,tywlsqueens.org,"E, J, Z to Jamaica Center-Parsons/Archer; F to Parsons Blvd","Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q85, Q9, X68",566,8am,2:55pm,150-91 87th Road,Jamaica,11432,NY,QUEENS   ,40.708409,-73.804166,8,24,236,4207510,4097070048,Briarwood-Jamaica Hills                                                    
31R047,CSI High School for International Studies,R,"100 Essex Drive, Staten Island NY 10314(40.581958, -74.159343)",718-370-6900,718-370-6915,31r047@schools.nyc.gov,www.csihighschool.org,N/A,"S44, S55, S56, S59, S61, S79-SBS, S89, S91, S94, X17, X17A, X17J, X31",491,7:30am,3:45pm,100 Essex Drive,Staten Island,10314,NY,STATEN IS,40.581958,-74.159343,2,51,27702,5149609,5024500320,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
18K637,Academy for Conservation and the Environment,K,"6565 Flatlands Avenue, Brooklyn NY 11236(40.634451, -73.916927)",718-968-4101,718-968-4296,emazzol@schools.nyc.gov,schools.nyc.gov/SchoolPortals/18/K637,N/A,"B103, B47, B6, B82, BM1, BM2",284,8:05am,2:25pm,6565 Flatlands Avenue,Brooklyn,11236,NY,BROOKLYN ,40.634451,-73.916927,18,46,950,3224139,3079980005,Canarsie                                                                   
08X332,Holcombe L. Rucker School of Community Research,X,"965 Longwood Avenue, Bronx NY 10459(40.817741, -73.897876)",718-860-1053,718-860-1321,dcarthan@schools.nyc.gov,schools.nyc.gov/SchoolPortals/08/X332,"2, 5 to Prospect Ave; 6 to Longwood Ave","Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6",153,8:20am,3:55pm,965 Longwood Avenue,Bronx,10459,NY,BRONX    ,40.817741,-73.897876,2,17,87,2005616,2027100001,Longwood                                                                   
15K448,Brooklyn Secondary School for Collaborative Studies,K,"610 Henry Street, Brooklyn NY 11231(40.679462, -74.002022)",718-923-4700,718-923-4730,scill@bcs448.org,bcs448.org,"F, G to Carroll St","B57, B61, X12, X14, X17, X17A, X19, X3, X31, X42, X5, X8, X9",667,8:45am,3:05pm,610 Henry Street,Brooklyn,11231,NY,BROOKLYN ,40.679462,-74.002022,6,39,63,3336036,3003690001,Carroll Gardens-Columbia Street-Red Hook                                   
08X349,Bronx River High School,X,"3000 East Tremont Avenue, Bronx NY 10461(40.839775, -73.839583)",718-904-4210,718-904-4209,msmarrero@bronxriverhighschool.oth,bronxriverhighschool.org,6 to Westchester Sq-East Tremont Ave,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",409,8:15am,2:35pm,3000 East Tremont Avenue,Bronx,10461,NY,BRONX    ,40.839775,-73.839583,10,13,194,2074045,2053680001,Schuylerville-Throgs Neck-Edgewater Park                                   
26Q435,Martin Van Buren High School,Q,"230-17 Hillside Avenue, Queens Village NY 11427(40.733888, -73.739726)",718-776-4728,718-217-6287,ssochet@schools.nyc.gov,mvbhigh.org,N/A,"Q1, Q27, Q43, Q46, Q88, QM36, QM6, X68",1234,8am,3:40pm,230-17 Hillside Avenue,Queens Village,11427,NY,QUEENS   ,40.733888,-73.739726,13,23,1301,4166101,4079300002,Bellerose                                                                  
11X509,High School of Language and Innovation,X,"925 Astor Avenue, Bronx NY 10469(40.860443, -73.860729)",718-944-3625,718-944-3641,info@languageandinnovation.org,languageandinnovation.org,"2, 5 to Pelham Parkway","Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",359,8:23am,2:44am,925 Astor Avenue,Bronx,10469,NY,BRONX    ,40.860443,-73.860729,11,13,324,2050179,2043580001,Bronxdale                                                                  
25Q281,East-West School of International Studies,Q,"46-21 Colden Street, Flushing NY 11355(40.74943, -73.821402)",718-353-0009,718-353-3772,admissions@ewsis.org,ewsis.org,N/A,"Q17, Q20A, Q20B, Q25, Q27, Q34, Q44-SBS, Q65",685,8am,2:20pm,46-21 Colden Street,Flushing,11355,NY,QUEENS   ,40.74943,-73.821402,7,20,845,4116436,4051470001,Flushing                                                                   
29Q498,Humanities & Arts Magnet High School,Q,"207- 01 116th Avenue, Cambria Heights NY 11411(40.698786, -73.74633)",718-978-2135,718-978-2309,KAyetiwa@schools.nyc.gov,humanitiesandthearts.org,N/A,"Q27, Q4, Q77, Q83, Q84, X64",470,8am,2:45pm,207- 01 116th Avenue,Cambria Heights,11411,NY,QUEENS   ,40.69878,-73.74633,13,27,53401,4238003,4110490001,Cambria Heights                                                            
02M531,Repertory Company High School for Theatre Arts,M,"123 West 43rd Street, Manhattan NY 10036(40.756089, -73.984381)",212-382-1875,212-382-2306,mfram@schools.nyc.gov,repertorycompanyhs.org,"1, 2, 3, A, C, E, N, Q, R, S to Times Square-42nd St; 4, 5, 6 to Grand Central-42nd St; 7, B, D, F, M to 42nd St-Bryant Park","BM1, BM2, BM3, BM4, BM5, BxM10, BxM11, BxM18, BxM2, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M3, M34A-SBS, M34-SBS, M4, M42, M5, M50, M7, Q32, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM21, QM24, QM3, QM4, QM5, QM6, X1, X10, X10B, X12, X14, X17, X17J, X2, X21, X22, X22A, X27, X28, X30, X31, X37, X38, X42, X5, X63, X64, X68, X7, X9",246,8:15am,2:35pm,123 West 43rd Street,Manhattan,10036,NY,MANHATTAN,40.756089,-73.984381,5,4,119,1022615,1009960021,Midtown-Midtown South                                                      
25Q670,Robert F. Kennedy Community High School,Q,"75-40 Parsons Boulevard, Fresh Meadows NY 11366(40.72528, -73.811408)",718-969-5510,718-969-5524,ABarbet@schools.nyc.gov,rfkchs.com,N/A,"Q20A, Q20B, Q25, Q34, Q46, Q64, Q65, QM1, QM31, QM35, QM36, QM4, QM44, QM5, QM6, QM7, QM8",730,8am,2:30pm,75-40 Parsons Boulevard,Fresh Meadows,11366,NY,QUEENS   ,40.72528,-73.811408,8,24,77908,4147452,4068090056,Kew Gardens Hills                                                          
30Q258,Energy Tech High School,Q,"36-41 28th Street, Astoria NY 11106(40.756471, -73.932628)",718-472-0536,718-472-0490,energytech@energytechhs.org,energytechschool.org,"E to Queens Plaza; F to 21st St-Queensbridge; M, R to 36th St; N, Q to 36 Ave-Washington Ave","Q100, Q101, Q102, Q103, Q104, Q66, Q69",435,8:45am,3:45pm,36-41 28th Street,Astoria,11106,NY,QUEENS   ,40.756471,-73.932628,1,26,51,4004156,4003430001,Queensbridge-Ravenswood-Long Island City                                   
02M413,School of the Future High School,M,"127 East 22nd Street, Manhattan NY 10010(40.739121, -73.985323)",212-475-8086,212-475-9273,02M413@schools.nyc.gov,sof.edu,"4, 5, L, Q to 14th St-Union Square; 6, F, M, N, R to 23rd St","BM1, BM2, BM3, BM4, BxM10, BxM11, BxM18, BxM3, BxM4, BxM6, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M2, M23, M3, M34A-SBS, M5, M7, M9, QM21, X1, X10, X10B, X12, X14, X17, X2, X27, X28, X37, X38, X42, X5, X63, X64, X68, X7, X9",763,8:35am,3:10pm,127 East 22nd Street,Manhattan,10010,NY,MANHATTAN,40.739121,-73.985323,5,2,68,1018014,1008780016,Gramercy                                                                   
